,xc,yc,area,box_label,imagename
45,742.0280456542969,1749.7296752929688,181.89707372151312,[223.48926 207.76915 236.56683 219.6902 ],Sample1
46,837.1256923675537,1587.407850265503,218.34075812292576,[62.48634  44.262173 75.765045 58.553528],Sample1
47,844.1138381958008,1550.8632898330688,166.76200044841968,[70.26133   8.800449 81.96635  20.92613 ],Sample1
48,1249.6783142089846,1777.559829711914,337.76929321885115,[216.80829 233.04787 234.54834 250.0718 ],Sample1
49,1244.9427108764646,1684.4540176391602,357.3303113530856,[212.5038  138.96034 229.38162 157.9477 ],Sample1
50,1418.1758880615234,1577.6451930999756,463.61531212739646,[128.55943   30.688232 147.79234   52.602154],Sample1
51,1359.397331237793,1746.019157409668,479.42401467356837,[ 69.40572 199.09517  89.38894 220.94315],Sample1
52,1391.1865234375,1664.599494934082,563.9382474280427,[ 98.47602  118.42734  123.897026 138.77165 ],Sample1
53,1378.37446975708,1692.166160583496,299.85834745841566,[ 91.04572 147.0906  105.70322 165.24171],Sample1
54,711.6087188720703,1801.827243208885,212.1776749868877,[193.49129    2.311381 205.72615   17.343105],Sample1
55,1258.6975860595705,1829.913372039795,202.89584001526242,[227.96121   31.40379  241.43396   44.422955],Sample1
56,1254.7151565551758,1803.760267496109,346.6531896714587,[221.36691     3.4603944 240.0634     20.06014  ],Sample1
57,1352.2094459533694,1854.417724609375,281.174674969865,[64.924446 53.88835  79.494446 70.9471  ],Sample1
58,1349.0939254760742,1933.7154541015625,440.4753751717508,[ 58.9457  131.87393  79.24215 151.55698],Sample1
59,1352.341064453125,1798.154402256012,183.51207876800618,[65.94668    0.        78.73545   12.3088045],Sample1
60,1543.6271423101425,1990.481201171875,259.6084327986755,[  0.65475535 190.29561     14.599529   206.6668    ],Sample1
61,1570.9799728393555,1875.6583557128906,200.16822998004503,[28.918728 76.53144  41.041218 90.78527 ],Sample1
62,1317.9440536499026,2149.4403266906743,489.62813720398117,[ 27.977936  90.244774  47.91017  112.63588 ],Sample1
63,1317.3525686264038,2215.023422241211,367.02639773039846,[ 28.368715 157.84839   46.336422 176.19846 ],Sample1
64,1307.9769802093504,2128.4239044189453,209.3185183899477,[21.485016 73.43965  34.468945 87.40816 ],Sample1
65,1305.175142288208,2191.282989501953,195.25902609759945,[ 18.586582 136.89658   31.763702 149.6694  ],Sample1
66,851.0488510131836,2415.21053314209,734.7168175301048,[ 69.717926  98.43021   96.379776 123.99086 ],Sample1
67,1368.186508178711,2340.7075242996216,259.6192449840601,[81.12601  28.6228   95.24701  44.792248],Sample1
68,1721.7446212768555,32.38190221786499,1763.3533143047823,[164.06725   13.004062 207.422     51.759743],Sample10
69,1726.980209350586,725.3991775512695,319.1979269827716,[182.49094 205.02199 199.46948 221.77637],Sample10
70,1757.158836364746,628.2564506530763,759.5482768070651,[209.58435 101.03014 232.73332 131.48276],Sample10
71,1876.885269165039,708.0141677856445,426.3777055609972,[ 74.64436  186.59001   95.126175 205.43832 ],Sample10
72,1833.700786590576,666.4597778320312,304.9362611174584,[ 32.973248 146.6982    50.428326 162.22136 ],Sample10
73,1877.6121101379395,681.5622787475586,327.0892851835815,[ 76.94917 161.13803  94.27505 177.98653],Sample10
74,1805.363281726837,641.298583984375,272.07117079306045,[  5.5246687 121.64162    21.201895  136.95555  ],Sample10
75,1862.4548892974854,694.8429870605469,301.6645870055072,[ 62.787403 174.10928   78.122375 191.57669 ],Sample10
76,1663.0187034606934,901.1076354980468,1011.240495590726,[111.242805 118.074844 142.7946   148.14043 ],Sample10
77,1657.3318176269531,932.7718887329103,1290.794288281817,[104.1328  147.03932 138.53084 182.50446],Sample10
78,1716.0972595214844,797.8589878082275,404.4967026802478,[170.64436   20.198711 189.55016   39.519264],Sample10
79,1679.9314002990725,958.2752990722656,1715.8605668249074,[122.73255 171.00627 165.13025 209.54433],Sample10
80,1690.3242950439453,844.4013156890869,1080.180770191364,[139.18062   59.639057 169.46797   93.163574],Sample10
81,1667.5112686157227,876.7473182678223,797.6408197501441,[117.609344  95.40124  145.4132   122.0934  ],Sample10
82,1689.3104248046875,997.9547729492188,1291.2304487731308,[137.79698 210.29623 168.82387 249.61331],Sample10
83,1681.5596923828125,775.3548028469086,247.1014619447524,[1.3813132e+02 6.3122272e-02 1.5298807e+02 1.4646483e+01],Sample10
84,1653.1576957702634,1005.9290466308594,1405.2341234358025,[ 98.43832 220.15018 135.87708 255.70792],Sample10
85,1776.1509857177734,861.253833770752,202.36062330426648,[233.65297  86.52462 246.649    99.98305],Sample10
